iteration,acceptance_probability,temperature,objective_value
1,0.0,1000,4672.034
2,0.0,990.0,4672.034
3,0.0,980.1,4672.034
4,1.0,970.299,4671.97
5,0.0,960.59601,4671.97
6,0.0,950.9900498999999,4671.97
7,0.0,941.480149401,4671.97
8,0.0,932.0653479069899,4671.97
9,1.9617700614301714e-05,922.74469442792,4671.97
10,0.0,913.5172474836407,4671.97
11,0.0,904.3820750088043,4671.97
12,1.0,895.3382542587163,4671.574
13,0.0,886.3848717161292,4671.574
14,0.0,877.5210229989679,4671.574
15,0.9995166612782264,868.7458127689781,4671.994
16,0.0,860.0583546412884,4671.994
17,0.0,851.4577710948755,4671.994
18,0.0,842.9431933839268,4671.994
19,0.9979314754797685,834.5137614500875,4673.722
20,0.0,826.1686238355866,4673.722
21,1.0,817.9069375972307,4671.546
22,0.0,809.7278682212584,4671.546
23,1.0,801.6305895390458,4671.5
24,0.9997505396431512,793.6142836436553,4671.698
25,0.9997709247933783,785.6781408072187,4671.878
26,4.6303540594660537e-23,777.8213593991466,4671.878
27,0.9986192134062118,770.0431458051551,4672.942
28,0.9994125104352414,762.3427143471035,4673.39
29,0.0,754.7192872036325,4673.39
30,0.0,747.1720943315961,4673.39
31,0.9980551594777445,739.7003733882801,4674.83
32,0.0,732.3033696543973,4674.83
33,0.0,724.9803359578533,4674.83
34,0.0,717.7305325982747,4674.83
35,0.9994147120408949,710.553227272292,4675.246
36,0.0,703.4476949995691,4675.246
37,0.0,696.4132180495734,4675.246
38,0.9997128554154577,689.4490858690776,4675.4439999999995
39,0.0,682.5545950103868,4675.4439999999995
40,1.0,675.7290490602829,4675.4439999999995
41,0.0,668.9717585696801,4675.4439999999995
42,0.0,662.2820409839833,4675.4439999999995
43,0.0,655.6592205741434,4675.4439999999995
44,0.0,649.102628368402,4675.4439999999995
45,0.9995425965612592,642.6116020847179,4675.738
46,0.0,636.1854860638707,4675.738
47,0.9983944911799392,629.823631203232,4676.75
48,1.0824463806745581e-07,623.5253948911997,4676.75
49,0.0,617.2901409422876,4676.75
50,1.454251544961091e-256,611.1172395328647,4676.75
51,1.0,605.006067137536,4676.366
52,5.507537064085247e-66,598.9560064661606,4676.366
53,1.207139892856981e-66,592.966446401499,4676.366
54,0.9978015359327208,587.036781937484,4677.658
55,0.0,581.1664141181092,4677.658
56,1.825214651216496e-272,575.3547499769281,4677.658
57,0.0,569.6012024771588,4677.658
58,0.9966857971491775,563.9051904523873,4679.53
59,0.0,558.2661385478634,4679.53
60,0.0,552.6834771623847,4679.53
61,0.0,547.1566423907609,4679.53
62,0.0,541.6850759668533,4679.53
63,0.9998582899166545,536.2682252071847,4679.606
64,0.0,530.9055429551129,4679.606
65,0.0,525.5964875255618,4679.606
66,1.0,520.3405226503062,4678.838
67,0.0,515.1371174238031,4678.838
